OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Ankenævnskendelse faldskader.aspx;Ankenævnskendelse faldskader.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning;False;Error
Ankenævnskendelse dyr.aspx;Ankenævnskendelse dyr.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning;False;Error
Ankenævnskendelse grov uagtsomhed - stikledning.aspx;Ankenævnskendelse grov uagtsomhed - stikledning.aspx;Ankenævnskendelse;Afsnit 9. Stikledninger;Bygning;False;Error
Ankenævnskendelse renovering.aspx;Ankenævnskendelse renovering.aspx;Ankenævnskendelse;Alle dækninger;Bygning;False;Error
Ankenævnskendelse skjulte rør.aspx;Ankenævnskendelse skjulte rør.aspx;Ankenævnskendelse;Afsnit 10: Skjulte rør og kabler;Bygning;False;Error
Ankenævnskendelse grov uagtsomhed - brand.aspx;Ankenævnskendelse grov uagtsomhed - brand.aspx;Ankenævnskendelse ;Afsnit 2: Brand, lynnedslag og eksplosion m.v.;Bygning;False;Error
Ankenævnskendelse synligt rør.aspx;Ankenævnskendelse synligt rør.aspx;Ankenævnskendelse;Afsnit 10: Skjulte rør og kabler;Bygning;False;Error
Ankenævnskendelse stikledning - i brønd.aspx;Ankenævnskendelse stikledning - i brønd.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger;Bygning;False;Error
Ankenævnskendelse stikledning - gulvafløb.aspx;Ankenævnskendelse stikledning - gulvafløb.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger;Bygning;False;Error
Ankenævnskendelse stikledning - stophane.aspx;Ankenævnskendelse stikledning - stophane.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger;Bygning;False;Error
Ankenævnskendelse stikledning - død ledning.aspx;Ankenævnskendelse stikledning - død ledning.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger;Bygning;False;Error
Ankenævnskendelse Lovliggørelse.aspx;Ankenævnskendelse Lovliggørelse.aspx;Ankenævnskendelse;Alle dækninger;Bygning;False;Error
Ankenævnskendelse Fritstående radiator.aspx;Ankenævnskendelse Fritstående radiator.aspx;Ankenævnskendelse ;Afsnit 1.G.d: Bygningstilbehør. Afsnit 4: Tyveri og hærværk;Bygning;False;Error
Ankenævnskendelse havebassin.aspx;Ankenævnskendelse havebassin.aspx;Ankenævnskendelse;Afsnit 1.G.g: Haveanlæg;Bygning;False;Error
Ankenævnskendelse tilsodning fra olielampe.aspx;Ankenævnskendelse tilsodning fra olielampe.aspx;Ankenævnskendelse;Afsnit 2: Brand, lynnedslag og eksplosion m.v.;Bygning;False;Error
Ankenævnskendelse åben ild i gryde.aspx;Ankenævnskendelse åben ild i gryde.aspx;Ankenævnskendelse;Afsnit 2: Brand, lynnedslag og eksplosion m.v;Bygning;False;Error
Ankenævnskendelse frostsprængning.aspx;Ankenævnskendelse frostsprængning.aspx;Ankenævnskendelse;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør;Bygning;False;Error
